headword,CEFR,CEFR_numeric,word_length,syllable_count,POS,frequency,POS_adjective,POS_adverb,POS_noun,POS_unknown,POS_verb
airplane/aeroplane,A1,1,18,7,unknown,3.11,0,0,0,1,0
airport,A1,1,7,2,noun,4.84,0,0,1,0,0
aisle,A2,2,5,2,noun,3.72,0,0,1,0,0
alarm,A2,2,5,2,noun,4.28,0,0,1,0,0
alarm,B1,3,5,2,noun,4.28,0,0,1,0,0
alarm clock,A2,2,11,3,unknown,4.05,0,0,0,1,0
album,A1,1,5,2,noun,5.02,0,0,1,0,0
alcohol,B1,3,7,3,noun,4.61,0,0,1,0,0
alcoholic,B1,3,9,4,noun,3.91,0,0,1,0,0
alcoholic,B2,4,9,4,noun,3.91,0,0,1,0,0
alcoholism,B2,4,10,4,noun,3.45,0,0,1,0,0
alert,B2,4,5,2,noun,4.33,0,0,1,0,0
alike,B1,3,5,3,adjective,4.13,1,0,0,0,0
alive,A2,2,5,3,adjective,4.76,1,0,0,0,0
all,A2,2,3,1,adjective,6.52,1,0,0,0,0
all,A1,1,3,1,adjective,6.52,1,0,0,0,0
all right,A1,1,9,2,unknown,5.85,0,0,0,1,0
allegation,B2,4,10,4,noun,3.5,0,0,1,0,0
allergic,B1,3,8,3,adjective,3.78,1,0,0,0,0
alliance,B2,4,8,3,noun,4.4,0,0,1,0,0
allow,A2,2,5,2,verb,5.01,0,0,0,0,1
allowance,B1,3,9,4,noun,3.85,0,0,1,0,0
ally,B2,4,4,2,noun,4.1,0,0,1,0,0
almost,A1,1,6,2,adverb,5.39,0,1,0,0,0
alone,A2,2,5,3,adjective,5.16,1,0,0,0,0
alone,A1,1,5,3,adjective,5.16,1,0,0,0,0
along,A1,1,5,2,adverb,5.38,0,1,0,0,0
along,A2,2,5,2,adverb,5.38,0,1,0,0,0
alongside,B2,4,9,4,adverb,4.45,0,1,0,0,0
aloud,B1,3,5,2,adverb,3.51,0,1,0,0,0
alphabet,B1,3,8,3,noun,3.7,0,0,1,0,0
alphabetical,B2,4,12,5,adjective,3.22,1,0,0,0,0
already,A1,1,7,3,adverb,5.55,0,1,0,0,0
alright,A2,2,7,2,adjective,4.42,1,0,0,0,0
also,A1,1,4,2,adverb,6.19,0,1,0,0,0
altar,B2,4,5,2,noun,3.8,0,0,1,0,0
alter,B2,4,5,2,verb,4.05,0,0,0,0,1
alternate,B2,4,9,4,noun,4.11,0,0,1,0,0
alternative,B1,3,11,5,noun,4.71,0,0,1,0,0
alternatively,B2,4,13,6,adverb,3.81,0,1,0,0,0
although,A2,2,8,2,unknown,5.3,0,0,0,1,0
altitude,B2,4,8,4,noun,3.92,0,0,1,0,0
altogether,B1,3,10,4,noun,4.07,0,0,1,0,0
aluminum/aluminium,B2,4,18,8,unknown,3.55,0,0,0,1,0
always,A1,1,6,2,adverb,5.76,0,1,0,0,0
am,A1,1,2,1,noun,5.78,0,0,1,0,0
amaze,B2,4,5,3,verb,3.19,0,0,0,0,1
amazed,B1,3,6,3,verb,3.91,0,0,0,0,1
amazement,B2,4,9,4,noun,3.0,0,0,1,0,0
amazing,B1,3,7,3,verb,5.1,0,0,0,0,1
amazingly,B2,4,9,4,adverb,3.64,0,1,0,0,0
ambassador,B2,4,10,4,noun,4.35,0,0,1,0,0
ambiguity,B2,4,9,4,noun,3.37,0,0,1,0,0
ambiguous,B2,4,9,3,adjective,3.57,1,0,0,0,0
ambition,A2,2,8,3,noun,3.91,0,0,1,0,0
ambitious,B1,3,9,3,adjective,3.95,1,0,0,0,0
ambulance,B1,3,9,4,noun,4.06,0,0,1,0,0
ammonia,B2,4,7,3,noun,3.36,0,0,1,0,0
among,A2,2,5,2,unknown,5.31,0,0,0,1,0
amongst,B2,4,7,2,unknown,4.31,0,0,0,1,0
amount,B1,3,6,2,noun,5.13,0,0,1,0,0
ample,B2,4,5,2,adjective,3.71,1,0,0,0,0
amplifier,B2,4,9,3,noun,3.45,0,0,1,0,0
amplify,B2,4,7,3,verb,3.16,0,0,0,0,1
amuse,B2,4,5,3,verb,3.12,0,0,0,0,1
amused,A2,2,6,3,verb,3.53,0,0,0,0,1
amusement,A2,2,9,4,noun,3.74,0,0,1,0,0
amusing,B1,3,7,3,verb,3.76,0,0,0,0,1
an,A1,1,2,1,noun,6.53,0,0,1,0,0
analogy,B2,4,7,4,noun,3.71,0,0,1,0,0
analysis,B1,3,8,4,noun,4.91,0,0,1,0,0
analyst,B2,4,7,3,noun,4.03,0,0,1,0,0
analyze/analyse,B1,3,15,8,unknown,3.32,0,0,0,1,0
ancestor,A2,2,8,3,noun,3.49,0,0,1,0,0
anchor,B2,4,6,2,noun,4.02,0,0,1,0,0
anchorage,B2,4,9,4,noun,3.42,0,0,1,0,0
anchorman,B2,4,9,3,noun,2.63,0,0,1,0,0
anchorperson,B2,4,12,4,noun,0.0,0,0,1,0,0
ancient,A2,2,7,2,noun,4.68,0,0,1,0,0
and,A1,1,3,1,unknown,7.41,0,0,0,1,0
angel,A2,2,5,2,noun,4.45,0,0,1,0,0
anger,B1,3,5,2,noun,4.42,0,0,1,0,0
angle,B1,3,5,2,noun,4.38,0,0,1,0,0
angrily,A2,2,7,3,adverb,3.34,0,1,0,0,0
angry,A1,1,5,2,adjective,4.66,1,0,0,0,0
anguish,B2,4,7,2,noun,3.37,0,0,1,0,0
animal,A1,1,6,3,noun,4.81,0,0,1,0,0
animate,B2,4,7,4,verb,3.14,0,0,0,0,1
animated,B1,3,8,4,verb,4.07,0,0,0,0,1
animation,B1,3,9,4,noun,4.18,0,0,1,0,0
ankle,A2,2,5,2,noun,3.97,0,0,1,0,0
anniversary,A2,2,11,5,noun,4.53,0,0,1,0,0
announce,B1,3,8,3,verb,4.26,0,0,0,0,1
announcement,B1,3,12,4,noun,4.31,0,0,1,0,0
annoy,A2,2,5,2,verb,3.46,0,0,0,0,1
annoyance,B1,3,9,3,noun,3.33,0,0,1,0,0
annoyed,B1,3,7,2,verb,3.95,0,0,0,0,1
annoying,A2,2,8,2,noun,4.4,0,0,1,0,0
annual,B1,3,6,2,noun,4.94,0,0,1,0,0
annually,B1,3,8,3,adverb,4.16,0,1,0,0,0
anonymous,B2,4,9,4,adjective,4.17,1,0,0,0,0
another,A1,1,7,3,adjective,5.74,1,0,0,0,0
another,A2,2,7,3,adjective,5.74,1,0,0,0,0
answer,A1,1,6,2,noun,5.17,0,0,1,0,0
ant,B1,3,3,1,noun,3.86,0,0,1,0,0
anti,B1,3,4,2,noun,5.01,0,0,1,0,0
antiaircraft,B2,4,12,3,noun,2.49,0,0,1,0,0
antibacterial,B2,4,13,5,noun,2.89,0,0,1,0,0
anticancer,B2,4,10,4,adjective,2.44,1,0,0,0,0
anticipate,B2,4,10,5,verb,3.73,0,0,0,0,1
anticipation,B2,4,12,5,noun,3.74,0,0,1,0,0
antipollution,B2,4,13,5,adjective,0.0,1,0,0,0,0
antique,B2,4,7,3,noun,3.86,0,0,1,0,0
antique,B1,3,7,3,noun,3.86,0,0,1,0,0
antistatic,B2,4,10,4,unknown,1.73,0,0,0,1,0
antivirus,B2,4,9,4,unknown,2.9,0,0,0,1,0
antonym,B1,3,7,3,noun,1.95,0,0,1,0,0
anxiety,B1,3,7,3,noun,4.45,0,0,1,0,0
anxious,A2,2,7,2,adjective,4.09,1,0,0,0,0
anxiously,B1,3,9,3,adverb,3.09,0,1,0,0,0
any,A1,1,3,2,adjective,6.07,1,0,0,0,0
anybody,A1,1,7,4,unknown,4.56,0,0,0,1,0
anyhow,B1,3,6,3,adverb,3.48,0,1,0,0,0
anymore,A2,2,7,4,adverb,4.94,0,1,0,0,0
anyone,A1,1,6,3,unknown,5.38,0,0,0,1,0
anything,A1,1,8,3,unknown,5.55,0,0,0,1,0
anyway,A2,2,6,3,adverb,4.91,0,1,0,0,0
anywhere,A2,2,8,4,adverb,4.71,0,1,0,0,0
apart,A2,2,5,2,adjective,4.78,1,0,0,0,0
apartment,A2,2,9,3,noun,4.65,0,0,1,0,0
ape,B1,3,3,2,noun,3.48,0,0,1,0,0
apologize/apologise,A2,2,19,10,unknown,3.54,0,0,0,1,0
apology,B1,3,7,4,noun,4.05,0,0,1,0,0
apostrophe,B2,4,10,4,noun,2.76,0,0,1,0,0
apparent,B1,3,8,3,adjective,4.32,1,0,0,0,0
apparently,A2,2,10,4,adverb,4.8,0,1,0,0,0
appeal,B1,3,6,2,noun,4.67,0,0,1,0,0
appeal,B2,4,6,2,noun,4.67,0,0,1,0,0
appear,A2,2,6,2,verb,4.85,0,0,0,0,1
appearance,A2,2,10,4,noun,4.69,0,0,1,0,0
appetite,B1,3,8,4,noun,3.87,0,0,1,0,0
applaud,B1,3,7,2,verb,3.46,0,0,0,0,1
applause,B1,3,8,3,noun,3.83,0,0,1,0,0
apple,A1,1,5,2,noun,4.76,0,0,1,0,0
applicant,B2,4,9,3,noun,3.64,0,0,1,0,0
application,B1,3,11,4,noun,4.86,0,0,1,0,0
apply,A2,2,5,2,verb,4.81,0,0,0,0,1
appoint,B1,3,7,2,verb,3.7,0,0,0,0,1
appointment,A2,2,11,3,noun,4.49,0,0,1,0,0
appreciate,A2,2,10,4,verb,4.74,0,0,0,0,1
appreciation,B1,3,12,4,noun,4.12,0,0,1,0,0
appreciative,B2,4,12,5,adjective,3.24,1,0,0,0,0
approach,B1,3,8,2,noun,4.93,0,0,1,0,0
approach,B2,4,8,2,noun,4.93,0,0,1,0,0
appropriate,A2,2,11,4,verb,4.67,0,0,0,0,1
appropriately,B2,4,13,5,adverb,3.74,0,1,0,0,0
approval,B1,3,8,3,noun,4.5,0,0,1,0,0
approve,B1,3,7,3,verb,4.08,0,0,0,0,1
approximate,B2,4,11,5,verb,3.64,0,0,0,0,1
approximately,B1,3,13,6,adverb,4.64,0,1,0,0,0
April,A1,1,5,2,noun,5.19,0,0,1,0,0
apron,A1,1,5,2,noun,3.36,0,0,1,0,0
arch,B2,4,4,1,noun,4.02,0,0,1,0,0
archaeologist/archeologist,B2,4,26,8,unknown,2.34,0,0,0,1,0
architect,B1,3,9,3,noun,4.08,0,0,1,0,0
architecture,A2,2,12,5,noun,4.42,0,0,1,0,0
arctic,B2,4,6,2,noun,4.03,0,0,1,0,0
are,A1,1,3,2,noun,6.74,0,0,1,0,0
area,A2,2,4,2,noun,5.46,0,0,1,0,0
arena,B2,4,5,3,noun,4.33,0,0,1,0,0
argue,A2,2,5,2,verb,4.46,0,0,0,0,1
argument,A2,2,8,3,noun,4.64,0,0,1,0,0
arise,B1,3,5,3,verb,3.93,0,0,0,0,1
aristocracy,B2,4,11,5,noun,3.21,0,0,1,0,0
arithmetic,B1,3,10,4,noun,3.4,0,0,1,0,0
arm,A1,1,3,1,noun,4.73,0,0,1,0,0
arm,B1,3,3,1,noun,4.73,0,0,1,0,0
armchair,A2,2,8,2,noun,3.21,0,0,1,0,0
armed,A2,2,5,2,verb,4.59,0,0,0,0,1
armful,B2,4,6,2,noun,1.98,0,0,1,0,0
army,B1,3,4,2,noun,5.06,0,0,1,0,0
around,A2,2,6,2,adverb,5.77,0,1,0,0,0
around,A1,1,6,2,adverb,5.77,0,1,0,0,0
arouse,B2,4,6,3,verb,2.9,0,0,0,0,1
arrange,B1,3,7,3,verb,4.0,0,0,0,0,1
arrangement,B1,3,11,4,noun,4.25,0,0,1,0,0
arrest,B1,3,6,2,noun,4.55,0,0,1,0,0
arrival,B1,3,7,3,noun,4.44,0,0,1,0,0
arrive,A1,1,6,3,verb,4.38,0,0,0,0,1
arrogant,B2,4,8,3,adjective,3.74,1,0,0,0,0
arrow,B1,3,5,2,noun,4.13,0,0,1,0,0
art,A1,1,3,1,noun,5.29,0,0,1,0,0
artery,B2,4,6,3,noun,3.65,0,0,1,0,0
article,A1,1,7,3,noun,5.09,0,0,1,0,0
articulate,B2,4,10,5,verb,3.54,0,0,0,0,1
artificial,A2,2,10,4,adjective,4.24,1,0,0,0,0
artificially,B2,4,12,5,adverb,3.44,0,1,0,0,0
artist,B1,3,6,2,noun,4.8,0,0,1,0,0
artistic,B1,3,8,3,adjective,4.17,1,0,0,0,0
artistry,B2,4,8,3,noun,3.12,0,0,1,0,0
as,A2,2,2,1,noun,6.77,0,0,1,0,0
as,A1,1,2,1,noun,6.77,0,0,1,0,0
ash,B2,4,3,1,noun,4.16,0,0,1,0,0
ashamed,B1,3,7,3,adjective,4.06,1,0,0,0,0
aside,B1,3,5,3,noun,4.59,0,0,1,0,0
ask,A1,1,3,1,verb,5.34,0,0,0,0,1
asleep,A2,2,6,2,adjective,4.36,1,0,0,0,0
aspect,B1,3,6,2,noun,4.41,0,0,1,0,0
aspiration,B2,4,10,4,noun,3.3,0,0,1,0,0
aspire,B2,4,6,3,verb,3.47,0,0,0,0,1
aspirin,B1,3,7,3,noun,3.34,0,0,1,0,0
assault,B2,4,7,2,noun,4.44,0,0,1,0,0
assemble,B2,4,8,3,verb,3.64,0,0,0,0,1
assembly,B2,4,8,3,noun,4.61,0,0,1,0,0
assert,B2,4,6,2,verb,3.62,0,0,0,0,1
assess,B2,4,6,2,verb,4.07,0,0,0,0,1
assessment,B2,4,10,3,noun,4.46,0,0,1,0,0
assign,B1,3,6,2,verb,3.66,0,0,0,0,1
assignment,B1,3,10,3,noun,4.18,0,0,1,0,0
assist,B1,3,6,2,noun,4.42,0,0,1,0,0
assistance,B1,3,10,4,noun,4.59,0,0,1,0,0
assistant,A2,2,9,3,noun,4.72,0,0,1,0,0
assistant,B1,3,9,3,noun,4.72,0,0,1,0,0
associate,B1,3,9,4,noun,4.39,0,0,1,0,0
association,A2,2,11,4,noun,5.01,0,0,1,0,0
assume,B1,3,6,3,verb,4.57,0,0,0,0,1
assumption,B2,4,10,3,noun,4.07,0,0,1,0,0
assurance,B2,4,9,4,noun,3.81,0,0,1,0,0
assure,B2,4,6,3,verb,4.06,0,0,0,0,1
astonish,B2,4,8,3,verb,2.47,0,0,0,0,1
astonished,B2,4,10,4,verb,3.27,0,0,0,0,1
astonishing,B2,4,11,4,verb,3.67,0,0,0,0,1
astonishment,B2,4,12,4,noun,2.86,0,0,1,0,0
astronaut,A2,2,9,3,noun,3.6,0,0,1,0,0
astronomer,B1,3,10,4,noun,3.16,0,0,1,0,0
astronomy,B2,4,9,4,noun,3.63,0,0,1,0,0
at,A1,1,2,1,noun,6.7,0,0,1,0,0
athlete,A2,2,7,3,noun,4.11,0,0,1,0,0
athletic,B1,3,8,3,adjective,4.12,1,0,0,0,0
athletics,B2,4,9,3,noun,3.82,0,0,1,0,0
Atlantic,B1,3,8,3,noun,4.39,0,0,1,0,0
atmosphere,B1,3,10,4,noun,4.46,0,0,1,0,0
atom,A2,2,4,2,noun,3.72,0,0,1,0,0
atomic,B1,3,6,3,adjective,3.98,1,0,0,0,0
attach,B1,3,6,2,verb,3.75,0,0,0,0,1
attached,B2,4,8,3,verb,4.52,0,0,0,0,1
attachment,B1,3,10,3,noun,3.88,0,0,1,0,0
attack,A2,2,6,2,noun,5.09,0,0,1,0,0
attain,B1,3,6,2,verb,3.6,0,0,0,0,1
attainable,B2,4,10,4,adjective,3.1,1,0,0,0,0
attainment,B2,4,10,3,noun,3.15,0,0,1,0,0
attempt,A2,2,7,2,noun,4.85,0,0,1,0,0
attempt,B1,3,7,2,noun,4.85,0,0,1,0,0
attend,B1,3,6,2,verb,4.55,0,0,0,0,1
attendance,B2,4,10,4,noun,4.17,0,0,1,0,0
attention,A2,2,9,3,noun,5.11,0,0,1,0,0
attentive,B2,4,9,4,adjective,3.3,1,0,0,0,0
attentively,B2,4,11,5,adverb,2.51,0,1,0,0,0
attitude,A2,2,8,4,noun,4.58,0,0,1,0,0
attract,B1,3,7,2,verb,4.2,0,0,0,0,1
attraction,B1,3,10,3,noun,4.11,0,0,1,0,0
attractive,A2,2,10,4,adjective,4.53,1,0,0,0,0
attractiveness,B2,4,14,5,noun,3.25,0,0,1,0,0
attribute,B2,4,9,4,noun,3.77,0,0,1,0,0
atypical,B2,4,8,4,adjective,3.12,1,0,0,0,0
aubergine,B2,4,9,4,noun,2.41,0,0,1,0,0
audience,A2,2,8,3,noun,4.73,0,0,1,0,0
audio,A2,2,5,2,noun,4.47,0,0,1,0,0
audit,B2,4,5,2,noun,4.04,0,0,1,0,0
audition,B2,4,8,3,noun,3.77,0,0,1,0,0
August,A1,1,6,2,noun,5.1,0,0,1,0,0
aunt,A1,1,4,1,noun,4.16,0,0,1,0,0
author,A2,2,6,2,noun,4.95,0,0,1,0,0
authoritative,B2,4,13,6,adjective,3.4,1,0,0,0,0
authority,B1,3,9,4,noun,4.81,0,0,1,0,0
authorize/authorise,B2,4,19,8,unknown,2.69,0,0,0,1,0
automatic,A2,2,9,4,noun,4.36,0,0,1,0,0
automatically,A2,2,13,6,adverb,4.52,0,1,0,0,0
autumn,A1,1,6,2,noun,4.26,0,0,1,0,0
auxiliary,B1,3,9,4,noun,3.74,0,0,1,0,0
availability,B2,4,12,6,noun,4.13,0,0,1,0,0
available,B1,3,9,4,adjective,5.28,1,0,0,0,0
avenue,B1,3,6,3,noun,4.43,0,0,1,0,0
